Age,Male,Female
" (1, 4]",28,21.6
" (4, 9]",13.2,10.2
"(9, 14]",16.9,12.2
"(14, 19]",66.6,29.1
"(19, 24]",129.9,46.5
"(24, 29]",150.5,60.8
"(29, 34]",170.9,83.5
"(34, 39]",198.5,110.1
"(39, 44]",254,159
"(44, 49]",375.5,243.1
"(49, 54]",608.7,381.5
"(54, 59]",916.9,556.8
"(59, 64]",1321.2,781.1
"(64, 69]",1811.8,1155.1
"(69, 74]",2732.5,1855.8
